idx,name,pattern,level,pen,seed,departSpeed,nCAV,nHDV,tripCAV,tripHDV,collisions,warnCAV,redViol,yellowCross,wasted,jStops,cannotStop,minH,cutins,ratio,uMinSteps,cmdSteps,nOpt,optWallMean,optWallMax,maxQueue,safetyPASS,effFlag
13,M13_straight4_heavy_pen10_seed202,straight4,heavy,0.10,202,max,16,143,98.0,99.7,0,0,0,0,0,0,0,0.00,19,1.000,160,8691,37,0.36,0.94,[8 0 9 0 10 1 10 1],1,0
16,M16_straight4_heavy_pen100_seed101,straight4,heavy,1.00,101,0,178,0,81.9,NaN,0,0,0,6,0,0,0,-0.00,132,1.000,838,44848,51,0.03,0.09,[1 0 1 0 1 0 1 0],1,0
17,M17_straight4_heavy_pen100_seed202,straight4,heavy,1.00,202,max,174,0,79.5,NaN,0,0,0,6,0,0,0,0.00,128,1.000,890,44408,53,0.03,0.06,[1 0 1 0 1 0 1 0],1,0
22,M22_turnmix_moderate_pen10_seed202,turnmix,moderate,0.10,202,max,12,87,91.3,85.4,0,0,0,0,0,0,0,-1.43,8,1.000,68,3931,42,0.02,0.06,[5 1 2 0 3 1 2 0],0,1
28,M28_turnmix_moderate_pen100_seed202,turnmix,moderate,1.00,202,max,100,0,82.0,NaN,0,0,0,0,0,0,0,0.02,46,1.000,490,28556,46,0.01,0.06,[0 1 1 0 0 1 1 0],1,0
32,M32_turnmix_heavy_pen50_seed202,turnmix,heavy,0.50,202,max,72,73,95.3,89.7,0,0,0,0,0,0,0,-1.67,70,1.000,423,29219,37,0.08,0.28,[6 2 3 0 3 2 3 0],0,1
35,M35_oneheavy_light_pen10_seed101,oneheavy,light,0.10,101,0,7,34,91.1,84.3,0,0,0,0,0,0,0,0.00,5,1.000,19,2082,82,0.01,0.07,[2 3 1 1 1 0 0 0],1,1
36,M36_oneheavy_light_pen50_seed101,oneheavy,light,0.50,101,0,19,19,84.9,79.3,0,0,0,0,0,0,0,0.00,11,1.000,54,6147,83,0.00,0.06,[2 2 1 1 2 0 1 0],1,1
43,M43_oneheavy_moderate_pen90_seed202,oneheavy,moderate,0.90,202,max,63,9,90.0,81.4,0,0,0,0,0,0,0,0.00,33,1.000,204,24607,37,0.03,0.10,[1 4 1 1 1 0 1 0],1,1
48,M48_oneheavy_heavy_pen50_seed101,oneheavy,heavy,0.50,101,0,46,48,106.6,100.9,0,0,0,0,0,2,0,-0.01,45,1.000,340,29410,29,0.43,3.34,[4 11 5 3 4 0 3 0],0,1
49,M49_oneheavy_heavy_pen50_seed202,oneheavy,heavy,0.50,202,max,49,50,104.8,97.7,0,0,0,0,0,0,0,-0.01,45,1.000,375,28097,30,0.25,0.92,[3 9 2 4 3 0 2 0],1,1
51,M51_oneheavy_heavy_pen100_seed202,oneheavy,heavy,1.00,202,max,107,0,88.7,NaN,0,0,0,2,0,0,0,-0.03,68,1.000,314,39256,31,0.07,0.26,[2 6 2 3 2 0 2 0],1,0
53,M53_all12_light_pen50_seed101,all12,light,0.50,101,0,24,24,94.5,88.3,0,0,0,0,0,0,0,-2.55,17,1.000,91,7728,20,0.04,0.20,[3 1 3 1 4 2 3 1],0,1
56,M56_all12_moderate_pen10_seed202,all12,moderate,0.10,202,max,12,66,98.2,87.8,0,0,0,0,0,0,0,0.00,10,1.000,28,4264,48,0.02,0.12,[2 1 3 1 4 1 3 1],1,1
57,M57_all12_moderate_pen50_seed101,all12,moderate,0.50,101,0,36,36,99.5,89.8,0,0,0,0,0,0,0,-2.55,30,1.000,205,17735,39,0.04,0.18,[3 1 4 2 4 1 4 2],0,1
58,M58_all12_moderate_pen50_seed202,all12,moderate,0.50,202,max,36,37,98.4,92.6,0,0,0,0,0,0,0,-2.70,36,1.000,203,17114,33,0.06,0.17,[3 2 3 2 4 2 3 2],0,1
64,M64_all12_heavy_pen10_seed202,all12,heavy,0.10,202,max,12,97,98.2,90.8,0,0,0,0,0,0,0,0.00,12,1.000,100,6744,38,0.05,0.19,[3 2 4 2 4 2 4 2],1,1
65,M65_all12_heavy_pen50_seed101,all12,heavy,0.50,101,0,54,56,95.5,88.9,0,0,0,0,0,0,0,-2.55,44,1.000,238,23055,41,0.05,0.16,[5 2 2 2 4 2 2 2],0,1
